@RELATION "litere"

@ATTRIBUTE "NUME" STRING
@ATTRIBUTE "PRENUME" STRING
@ATTRIBUTE "TOTALSES" NUMERIC
@ATTRIBUTE "W0" NUMERIC
@ATTRIBUTE "W1" NUMERIC
@ATTRIBUTE "W2" NUMERIC
@ATTRIBUTE "W3" NUMERIC
@ATTRIBUTE "W4" NUMERIC
@ATTRIBUTE "W5" NUMERIC
@ATTRIBUTE "W6" NUMERIC
@ATTRIBUTE "WEEKENDPCT" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV" NUMERIC
@ATTRIBUTE "MSG_MEANSEND" NUMERIC
@ATTRIBUTE "MSG_MEANRECV" NUMERIC
@ATTRIBUTE "MSG_TOTALSEND_WDS" NUMERIC
@ATTRIBUTE "MSG_TOTALRECV_WDS" NUMERIC
@ATTRIBUTE "GENDER" NUMERIC
@ATTRIBUTE "AGE" NUMERIC
@ATTRIBUTE "TOTALQUEST" NUMERIC
@ATTRIBUTE "GOODQUEST" NUMERIC
@ATTRIBUTE "QUESTPERC" NUMERIC
@ATTRIBUTE "TOTALHW" NUMERIC
@ATTRIBUTE "MEAN_TOTALHW_GRADE" NUMERIC
@ATTRIBUTE "MEAN_HOMEWORKS_GRADE" NUMERIC

@DATA
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,25,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,27,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,25,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,24,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,29,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,24,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,335.0,0,209,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,29,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,41,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,288.0,0,223,0,33,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,97,12,14,11,9,14,26,11,0.6166666666666667,1,14,0.0,361.0,26,289,0,38,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,32,3,5,4,6,8,4,2,0.23076923076923078,0,12,0.0,333.0,0,240,1,27,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,81,15,12,7,10,12,13,12,0.44642857142857145,12,11,183.0,258.0,319,225,1,24,1407,890,63.0,6,0.0,0.0
XXXXX,YYYYY,241,8,51,62,26,33,35,26,0.3388888888888889,1,15,0.0,301.0,21,303,0,23,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,13,0.0,375.0,0,264,0,30,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,40,7,1,5,7,7,8,5,0.48148148148148145,4,14,0.0,360.0,168,294,0,24,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,3,0,0,2,1,0,0,0,0.0,0,16,0.0,372.0,0,316,1,27,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,29,0,9,3,8,3,6,0,0.2608695652173913,0,12,0.0,333.0,0,240,1,24,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,15,4,3,3,1,3,0,1,0.07142857142857142,3246,10,5.0,128.0,72868,227,1,26,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,16,0,3,2,4,7,0,0,0.0,0,15,0.0,379.0,0,310,0,34,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,203,28,30,31,37,33,32,12,0.27672955974842767,2,2,0.0,218.0,112,43,1,47,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,15,0.0,379.0,0,310,1,24,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,167,39,23,16,27,30,20,12,0.23703703703703705,5,14,200.0,342.0,139,265,0,34,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,111,16,9,20,22,19,17,8,0.29069767441860467,3,5,0.0,334.0,161,163,0,38,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,7,2,1,1,3,0,0,0,0.0,0,6,0.0,217.0,0,114,1,28,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,76,14,14,13,7,20,6,2,0.11764705882352941,5,14,57.0,360.0,77,294,0,23,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,240,30,34,39,29,37,26,45,0.42011834319526625,1,11,0.0,368.0,43,222,0,50,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,937,134,157,155,158,137,105,91,0.26450742240215924,1588,6,0.0,225.0,19079,112,0,34,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,58,5,15,8,9,10,5,6,0.23404255319148937,4,14,63.0,329.0,285,425,1,32,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,118,10,11,15,17,34,22,9,0.3563218390804598,7,13,50.0,354.0,170,252,1,25,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,14,0.0,385.0,0,299,0,23,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,358,57,60,54,40,49,53,45,0.3769230769230769,46,12,101.0,333.0,1275,240,0,23,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,268,37,41,51,31,53,34,21,0.25821596244131456,4,13,326.0,351.0,87,254,0,29,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,105,17,9,17,13,21,17,11,0.36363636363636365,1,14,0.0,355.0,30,264,0,28,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,157,23,32,25,19,25,16,17,0.2661290322580645,2,2,2.0,671.0,56,75,0,23,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,122,27,29,21,16,11,12,6,0.17307692307692307,3,4,-3.0,313.0,55,50,0,36,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,149,9,16,41,25,39,10,9,0.14615384615384616,1,3,0.0,367.0,18,76,0,40,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,114,22,13,12,18,11,24,14,0.5,8,7,37.0,213.0,225,154,0,28,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,4,0,2,1,1,0,0,0,0.0,0,13,0.0,351.0,0,280,1,24,1379,1080,78.0,0,0.0,0.0
XXXXX,YYYYY,39,11,6,8,3,3,5,3,0.25806451612903225,0,12,0.0,377.0,0,214,0,43,1407,890,63.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,22,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,35,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,43,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,328.0,0,208,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,30,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,1,1,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,34,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,24,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,35,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,25,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,42,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,40,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,23,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,29,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,1,0,1,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,25,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,28,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,25,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,1,37,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,8,0.0,294.0,0,185,1,27,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,24,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,38,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,9,0.0,270.0,0,199,0,39,0,0,0.0,0,0.0,0.0
XXXXX,YYYYY,39,8,4,5,5,7,5,5,0.3448275862068966,28,13,0.0,379.0,700,331,0,28,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,13,10,0.0,328.0,302,225,0,22,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,66,17,9,9,11,6,8,6,0.2692307692307692,15,3,168.0,518.0,397,69,1,42,146,67,45.0,6,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,328.0,0,225,0,41,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,0,10,0.0,328.0,0,225,1,25,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,7,13,53.0,383.0,173,331,1,32,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,100,17,21,15,12,16,9,10,0.2345679012345679,1,8,0.0,201.0,103,278,1,27,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,226,35,36,26,25,26,27,51,0.527027027027027,0,2,0.0,218.0,0,43,0,26,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,3,1,0,1,1,0,0,0,0.0,44,14,152.0,267.0,1362,338,0,28,146,67,45.0,0,0.0,0.0
XXXXX,YYYYY,82,7,13,12,16,13,12,9,0.3442622950819672,202,14,245.0,384.0,4962,389,1,32,61,17,27.0,0,0.0,0.0
XXXXX,YYYYY,0,0,0,0,0,0,0,0,0.0,16,10,0.0,328.0,352,225,0,23,146,67,45.0,0,0.0,0.0
